# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     19     65      -     23     11      0      0      0      0    405    210      0      0    134    139      0      -      -      0      6    600 
    0     20     65      -     23      8      0      0      0      0    405    210      0      0    134    139      0      -      -      0    496    157 
    0     19     65      -     24      9      0      0      0      0    405    210      0      0    134    139      0      -      -      0      0      0 
    0     19     65      -     19      5      0      0      0      0    405    210      0      0    134    139      0      -      -      0      6    600 
    0     20     65      -     14     15      0      0      0      0    405    210      0      0    134    139      0      -      -      0    495      1 
    0     20     65      -     23     15      0      0      0      0    405    210      0      0    134    139      0      -      -      0      0      2 
    0     19     65      -     23      9      0      0      0      0    405    210      0      0    134    139      0      -      -      0    116    357 
    0     20     65      -     23     17      0      0      0      0    405    210      0      0    134    139      0      -      -      0      0    498 
    0     19     65      -     19      8      0      0      0      0    405    210      0      0    134    139      0      -      -      0    190    327 
    0     19     65      -     20     10      0      0      0      0    405    210      0      0    134    139      0      -      -      0    496    147 
    0     19     65      -     21      7      0      0      0      0    405    210      0      0    134    139      0      -      -      0    496      0 
    0     19     65      -     20     17      0      0      0      0    405    210      0      0    134    139      0      -      -      0     94    355 
    0     19     65      -     23      4      0      0      0      0    405    210      0      0    134    139      0      -      -      0      3    600 
    0     20     65      -     23      6      0      0      0      0    405    210      0      0    134    139      0      -      -      0    149    356 
    0     20     65      -      8     16      0      0      0      0    405    210      0      0    134    139      0      -      -      0      0      1 
    0     19     65      -     12      5      0      0      0      0    405    210      0      0    134    139      0      -      -      0    497    158 
    0     19     65      -     23      5      0      0      0      0    405    210      0      0    134    139      0      -      -      0      7    600 
    0     19     65      -     17     16      0      0      0      0    405    210      0      0    134    139      0      -      -      0      0      2 
    0     19     65      -     23     12      0      0      0      0    405    210      0      0    134    139      0      -      -      0    297    227 
    0     19     65      -     18      7      0      0      0      0    405    210      0      0    134    139      0      -      -      0    490      0 
    0     19     65      -     14     14      0      0      0      0    405    210      0      0    134    139      0      -      -      0      0      1 
    0     19     65      -     23      9      0      0      0      0    405    210      0      0    134    139      0      -      -      0    492    601 
    0     20     65      -     13      4      0      0      0      0    405    210      0      0    134    139      0      -      -      0      6      0 
    0     19     65      -     11     14      0      0      0      0    405    210      0      0    134    139      0      -      -      0      0      0 
    0     19     65      -     12     15      0      0      0      0    405    210      0      0    134    139      0      -      -      0      0      0 
    0     19     64      -     12     25      0      0      0      0    405    210      0      0    134    139      0      -      -      0    490      0 
    0     19     65      -     26     10      0      0      0      0    405    210      0      0    134    139      0      -      -      0      2    276 
    0     20     65      -     23      4      0      0      0      0    405    210      0      0    134    139      0      -      -      0    497    140 
    0     20     65      -     12      6      0      0      0      0    405    210      0      0    134    139      0      -      -      0    495      1 
    0     20     65      -     23      9      0      0      0      0    405    210      0      0    134    139      0      -      -      0      0      1 
    0     20     65      -     23      7      0      0      0      0    405    210      0      0    134    139      0      -      -      0    489      2 
    0     19     65      -     29      5      0      0      0      0    405    210      0      0    134    139      0      -      -      0      7    600 
    0     19     65      -     30     15      0      0      0      0    405    210      0      0    134    139      0      -      -      0    492      2 
    0     20     65      -     26      5      0      0      0      0    405    210      0      0    134    139      0      -      -      0      8    405 
    0     20     65      -     23      5      0      0      0      0    405    210      0      0    134    139      0      -      -      0      1    599 
    0     20     65      -     23     15      0      0      0      0    405    210      0      0    134    139      0      -      -      0      6    506 
    0     20     65      -     35      5      0      0      0      0    405    210      0      0    134    139      0      -      -      0      0      2 
    0     20     65      -     13     23      0      0      0      0    405    210      0      0    134    139      0      -      -      0    497    120 
    0     19     65      -     22     28      0      0      0      0    405    210      0      0    134    139      0      -      -      0      3    599 
    0     19     65      -     23      5      0      0      0      0    405    210      0      0    134    139      0      -      -      0      1    245 
    0     19     65      -     23     18      0      0      0      0    405    210      0      0    134    139      0      -      -      0    492      1 
    0     19     65      -     24      6      0      0      0      0    405    210      0      0    134    139      0      -      -      0    226    212 
    0     19     65      -     23      6      0      0      0      0    405    210      0      0    134    139      0      -      -      0     93    388 
    0     19     65      -     22     15      0      0      0      0    405    210      0      0    134    139      0      -      -      0      0    369 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     19     65      -     23      5      0      0      0      0    405    210      0      0    134    139      0      -      -      0    494      0 
