#Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 22:11:28       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:28       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:28       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:28       0      79430   C+G     32      7      -      -      -      -     32      0    mutter-devkit  
 22:11:28       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:29       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:29       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:29       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:29       0      79430   C+G     36      4      -      -      -      -     32      0    mutter-devkit  
 22:11:29       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:30       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:30       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:30       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:30       0      79430   C+G     37      5      -      -      -      -     32      0    mutter-devkit  
 22:11:30       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:31       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:31       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:31       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:31       0      79430   C+G     37      5      -      -      -      -     32      0    mutter-devkit  
 22:11:31       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:32       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:32       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:32       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:32       0      79430   C+G     36      5      -      -      -      -     32      0    mutter-devkit  
 22:11:32       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:33       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:33       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:33       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:33       0      79430   C+G     36      6      -      -      -      -     32      0    mutter-devkit  
 22:11:33       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:34       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:34       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:34       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:34       0      79430   C+G     34      5      -      -      -      -     32      0    mutter-devkit  
 22:11:34       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:35       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:35       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:35       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:35       0      79430   C+G     32      5      -      -      -      -     32      0    mutter-devkit  
 22:11:35       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:36       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:36       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:36       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:36       0      79430   C+G     34      5      -      -      -      -     32      0    mutter-devkit  
#Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 22:11:36       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:37       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:37       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:37       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:37       0      79430   C+G     34      5      -      -      -      -     32      0    mutter-devkit  
 22:11:37       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:38       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:38       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:38       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:38       0      79430   C+G     36      4      -      -      -      -     32      0    mutter-devkit  
 22:11:38       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:39       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:39       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:39       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:39       0      79430   C+G     35      6      -      -      -      -     32      0    mutter-devkit  
 22:11:39       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:40       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:40       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:40       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:40       0      79430   C+G     33      6      -      -      -      -     32      0    mutter-devkit  
 22:11:40       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:41       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:41       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:41       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:41       0      79430   C+G     35      5      -      -      -      -     32      0    mutter-devkit  
 22:11:41       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:42       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:42       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:42       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:42       0      79430   C+G     33      6      -      -      -      -     32      0    mutter-devkit  
 22:11:42       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:43       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:43       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:43       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:43       0      79430   C+G     33      6      -      -      -      -     32      0    mutter-devkit  
 22:11:43       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:45       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:45       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:45       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:45       0      79430   C+G     36      5      -      -      -      -     32      0    mutter-devkit  
 22:11:45       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:46       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:46       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:46       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
#Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 22:11:46       0      79430   C+G     35      5      -      -      -      -     32      0    mutter-devkit  
 22:11:46       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:47       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:47       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:47       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:47       0      79430   C+G     36      6      -      -      -      -     32      0    mutter-devkit  
 22:11:47       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:48       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:48       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:48       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
